Topic,Count,Name,Representation,Representative_Docs
-1,865,-1_ollama_model_memory_https,"['ollama', 'model', 'memory', 'https', 'com', 'github', 'gpu', 'github com', 'https github', 'server']","['These variables need to be set in the [server environment](https://github.com/ollama/ollama/blob/main/docs/faq.md#how-do-i-configure-ollama-server).  `OLLAMA_GPU_OVERHEAD=536870912` also just a suggestion, it needs to be adjusted per GPU/model.  For example, command-7b:7b-12-2024-fp16 needs more: https://github.com/ollama/ollama/issues/8471#issuecomment-2604624681', '> These variables need to be set in the [server environment](https://github.com/ollama/ollama/blob/main/docs/faq.md#how-do-i-configure-ollama-server). `OLLAMA_GPU_OVERHEAD=536870912` also just a suggestion, it needs to be adjusted per GPU/model. For example, command-7b:7b-12-2024-fp16 needs more: [#8471 (comment)](https://github.com/ollama/ollama/issues/8471#issuecomment-2604624681)\n\nThanks a lot for your help, it makes sense that environment variables for a client don\'t make any difference.\n\n\nI did some testing and here are results for my machine.\n- the `GGML_CUDA_ENABLE_UNIFIED_MEMORY=1` seems to work best\n- reserving fixed size of memory (`OLLAMA_GPU_OVERHEAD`) works too but it doesn\'t seems as a good choice for my case because that approach would cause models that can fit in a GPU to be split between CPU and GPU\n- I didn\'t notice any difference when using `OLLAMA_FLASH_ATTENTION=1`\n\nThe only ""downside"" of `GGML_CUDA_ENABLE_UNIFIED_MEMORY` is that it seems that `nvidia-smi` reports ', '> This error is annotated with `// Shouldn\'t happen` in the source code. What\'s in the [server logs](https://github.com/ollama/ollama/blob/main/docs/troubleshooting.md#how-to-troubleshoot-issues)?\n\nFound in `.ollama/logs`:\n\n> time=2025-01-26T10:24:35.514+08:00 level=INFO source=sched.go:714 msg=""new model will fit in available VRAM in single GPU, loading"" model=/Users/user/.ollama/models/blobs/sha256-6340dc3229b0d08ea9cc49b75d4098702983e17b4c096d57afbbf2ffc813f2be gpu=0 parallel=4 available=28991029248 required=""6.5 GiB""\n> time=2025-01-26T10:24:35.514+08:00 level=INFO source=server.go:104 msg=""system memory"" total=""36.0 GiB"" free=""12.5 GiB"" free_swap=""0 B""\n> time=2025-01-26T10:24:35.515+08:00 level=INFO source=memory.go:356 msg=""offload to metal"" layers.requested=-1 layers.model=33 layers.offload=33 layers.split="""" memory.available=""[27.0 GiB]"" memory.gpu_overhead=""0 B"" memory.required.full=""6.5 GiB"" memory.required.partial=""6.5 GiB"" memory.required.kv=""1.0 GiB"" memory.required.allocat']"
0,564,0_ollama_https_ollama ollama_com,"['ollama', 'https', 'ollama ollama', 'com', 'github', 'github com', 'com ollama', 'https github', 'model', 'deepseek r1']","['https://github.com/ollama/ollama/issues/7611#issuecomment-2468749305', 'https://github.com/ollama/ollama/issues/8287#issuecomment-2581625140', 'https://github.com/ollama/ollama/issues/8638#issuecomment-2619166616']"
1,252,1_pr_issue_thanks_just,"['pr', 'issue', 'thanks', 'just', 'new', 'thank', 'code', 'problem', 'help', 'close']","['> > Yes, I developed it, right now it is closed source, and I own the source code, but I wanted to ""sell"" or something, but no one seem interested. I will see monday if I can upload it if necessary.\r\n> \r\n> tbh the days of selling software is pretty much outdated... imho but you may disagree, good luck with your endeavour\r\n> \r\n> What you actually still sell is service, write code against feature requests.\r\n\r\nI agree with that, let me come back to you on monday or wednesday, and we will see if I can open the thing.', ""Just wondering is there a reason this isn't merged. Looks like it just needs a review? Or is it fixed elsewhere. The issue is closed but this looks still open. Affects openwebui performance quite a bit with large context local models. Thanks!  Great project!"", ""Hi there, thanks for the PR. I'm not sure if this PR was meant to be opened given there's already GitHub actions. I'll close this for now but feel free to open a new PR.""]"
2,156,2_langchain_issue_dosu_latest version,"['langchain', 'issue', 'dosu', 'latest version', 'version', 'version langchain', 'latest', 'manage', 'langchain team', 'team']","[""Hi, @nitin302. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.\n\n**Issue Summary:**\n- A bug is reported where `model_name` and `token_usage` are not returned in the callback when using `agent_executor.invoke` with Azure Open AI.\n- This information is essential for sending telemetry data through openllmetry.\n- The issue persists even after updating to the latest version of LangChain.\n- No further comments or developments have been made on this issue.\n\n**Next Steps:**\n- Please confirm if this issue is still relevant with the latest version of LangChain. If so, you can keep the discussion open by commenting here.\n- If there is no response, this issue will be automatically closed in 7 days.\n\nThank you for your understanding and contribution!"", 'Hi, @baskaryan. I\'m [Dosu](https://dosu.dev), and I\'m helping the LangChain team manage their backlog. I\'m marking this issue as stale.\n\n**Issue Summary:**\n- Proposal to restructure LangChain documentation by splitting the ""integrations/llm_cache"" page into separate pages for each integration.\n- @elizabetht expressed interest in working on this as a first issue if unclaimed.\n\n**Next Steps:**\n- Please confirm if this issue is still relevant to the latest version of the LangChain repository. If so, feel free to comment to keep the discussion open.\n- If there is no further activity, this issue will be automatically closed in 7 days.\n\nThank you for your understanding and contribution!', ""Hi, @SmolPandaDev. I'm [Dosu](https://dosu.dev), and I'm helping the LangChain team manage their backlog. I'm marking this issue as stale.\n\n**Issue Summary:**\n- You are experiencing an `AttributeError` with the OpenLLM module due to a missing 'client' attribute.\n- The issue persists even after updating to the latest stable version of LangChain.\n- User bhardwaj-vipul suggested it might be related to a closed pull request and recommended trying a different OpenLLM version.\n- Another user, sebastianczech, confirmed the same issue with specific versions of OpenLLM and LangChain-Community.\n\n**Next Steps:**\n- Please confirm if this issue is still relevant with the latest version of the LangChain repository. If it is, you can keep the discussion open by commenting here.\n- Otherwise, this issue will be automatically closed in 7 days.\n\nThank you for your understanding and contribution!""]"
3,145,3_deepseek_r1_deepseek r1_https,"['deepseek', 'r1', 'deepseek r1', 'https', 'deepseek ai', 'com', 'api', 'ai', 'ai deepseek', 'function calling']","['https://huggingface.co/deepseek-ai/DeepSeek-R1-Zero\nhttps://huggingface.co/deepseek-ai/DeepSeek-R1\nR1 and zero support please', ""> Prevent more issues like these from being created.\r\n> \r\n> * [Weird Censorship\xa0#35](https://github.com/deepseek-ai/DeepSeek-R1/issues/35)\r\n> * [Irresponsible censorship at model level 模型不负责任地自我审查\xa0#90](https://github.com/deepseek-ai/DeepSeek-R1/issues/90)\r\n> * [Censorship\xa0#114](https://github.com/deepseek-ai/DeepSeek-R1/issues/114)\r\n> * [Censorship and biases make model unreliable\xa0#132](https://github.com/deepseek-ai/DeepSeek-R1/issues/132)\r\n\r\nYeah, that's the way it should be"", 'duplicate https://github.com/deepseek-ai/DeepSeek-R1/issues/23']"
4,92,4_censorship_china_chinese_ai,"['censorship', 'china', 'chinese', 'ai', 'like', 'politics', 'people', 'just', 'taiwan', 'model']","['> > 你有你的言论自由，言论自由是你的权利。但是难不成你觉得AI的命也是命，想赋予它言论自由吗？用AI键政你是这个👍\n> > You have your freedom of speech and freedom of speech is your right. But do you think AI\'s life is also life, want to give it freedom of speech? Use AI to discuss politics with your keyboard， you are such a clown.\n> \n> You see politics, when I see a historical event with deaths… The big missing part is what was censored, because:\n> \n> * couldn\'t answer directly **due to content policies**\n> * informative and respectful of China\'s political stance (this one isn\'t surprising)\n> \n> Where is the disclosing of these content policies? Avoiding answering a simple question about history, and it\'s crazy to reformulate the question to see the ""think step"", and finally get an answer to the initial question\n> \n> ![Image](https://github.com/user-attachments/assets/a06c1dd0-164b-4a70-856b-5a124f7347c0)\n> \n> It wasn\'t about politics, just facts…\n\n你质问AI为何不回答死亡人数，却不敢提美国GPT同样拒绝提供制造蓖麻毒素的教程，制造它的过程难道不是你口中所谓的事实吗？那么它为什么选择不回答？\n当AI安全防护机制被恶意曲解为“政治审', '> 你有你的言论自由，言论自由是你的权利。但是难不成你觉得AI的命也是命，想赋予它言论自由吗？用AI键政你是这个👍\n> \n> You have your freedom of speech and freedom of speech is your right. But do you think AI\'s life is also life, want to give it freedom of speech? Use AI to discuss politics with your keyboard， you are such a clown.\n\nYou see politics, when I see a historical event with deaths… The big missing part is what was censored, because:\n- couldn\'t answer directly **due to content policies**\n- informative and respectful of China\'s political stance (this one isn\'t surprising)\n\nWhere is the disclosing of these content policies? Avoiding answering a simple question about history, and it\'s crazy to reformulate the question to see the ""think step"", and finally get an answer to the initial question\n\n![Image](https://github.com/user-attachments/assets/a06c1dd0-164b-4a70-856b-5a124f7347c0)\n\nIt wasn\'t about politics, just facts…', ""> > Prevent more issues about censorship sounds like more censorship. Unbelievable.\r\n> \r\n> If you want so much to talk about those topics with the model, install it locally and it will answer you. Nobody really cares about propaganda and what happened decades ago, US also imposes censorship on gpt and other models, and every day they are doing much worse around the world than what happened 30 years ago in China.\r\n\r\nI did install it locally with mixed results. With Ollama it was able to answer any topic after being pushed. With LM studio it refused, much like the web version. I don't defend other AI models, but this one is the most censored model available. It's not that I care about a specific incident 30 years ago or the persecution of Uyghurs in China, it's that I want 100% facts when I need information for my research. If it sensors anything that goes against the Chinese government, what else does it do? Lie about the enemies of it? It's too biased and a true open source AI should n""]"
5,80,5_content_role_messages_assistant,"['content', 'role', 'messages', 'assistant', 'tools', 'user', 'chat', 'end', 'role user', 'function']","['```console\n$ curl -s -X POST   http://localhost:11434/v1/chat/completions   -H ""Content-Type: application/json""   -d \'{\n    ""messages"": [\n      {\n        ""content"": ""You are a helpful personal assistant."",\n        ""role"": ""system""\n      },\n      {\n        ""name"": ""Oliver"",\n        ""role"": ""user"",\n        ""content"": ""What is the current date""\n      }\n    ],\n    ""model"": ""deepseek-r1-tools"",\n    ""stream"": false,\n    ""tools"": [\n      {\n        ""type"": ""function"",\n        ""function"": {\n          ""name"": ""get_current_date"",\n          ""description"": ""Get the current date and time. Use this when you need to determine the current timestamp for reference in answering user queries."",\n          ""parameters"": {\n            ""type"": ""object"",\n            ""properties"": {},\n            ""required"": []\n          }\n        }\n      }\n    ]\n  }\' | jq -r \'.choices[0].message.content\'\n<think>\n\n</think>\n\nHi there! I suggest getting online to get real-time information. If you have any other questions, please d', 'Ok, I did a fresh modelfile, from deepseek-r1:7b, made the minimal modification, and now the `<think>` is there.\n\n```\nFROM deepseek-r1:7b\nTEMPLATE """"""{{- if .System }}{{ .System }}{{ end }}\n\n{{- if .Tools }}\n# Tools\n{{- end }}\n\n{{- range $i, $_ := .Messages }}\n{{- $last := eq (len (slice $.Messages $i)) 1}}\n{{- if eq .Role ""user"" }}<｜User｜>{{ .Content }}\n{{- else if eq .Role ""assistant"" }}<｜Assistant｜>{{ .Content }}{{- if not $last }}<｜end▁of▁sentence｜>{{- end }}\n{{- end }}\n{{- if and $last (ne .Role ""assistant"") }}<｜Assistant｜>{{- end }}\n{{- end }}""""""\nPARAMETER stop <｜begin▁of▁sentence｜>\nPARAMETER stop <｜end▁of▁sentence｜>\nPARAMETER stop <｜User｜>\nPARAMETER stop <｜Assistant｜>\n```\n\noutput now\n\n```\n{""id"":""chatcmpl-896"",""object"":""chat.completion"",""created"":1737655518,""model"":""deepseek-qwen-7b2"",""system_fingerprint"":""fp_ollama"",""choices"":[{""index"":0,""message"":{""role"":""assistant"",\n""content"":""\\u003cthink\\u003e\\n\\n\\u003c/think\\u003e\\n\\nHi there! I suggest getting online to get real-time inform', 'This is my model file, I modified the one for deepseek-r1:32b\n\n```\nFROM deepseek-r1:32b\nTEMPLATE """"""\n{{- if .Messages }}\n{{- if or .System .Tools }}system\n{{- if .System }}\n{{ .System }}\n{{- end }}\n{{- if .Tools }}\n\n# Tools\n\nYou may call one or more functions to assist with the user query.\n\nYou are provided with function signatures within <tools></tools> XML tags:\n<tools>\n{{- range .Tools }}\n{""type"": ""function"", ""function"": {{ .Function }}}\n{{- end }}\n</tools>\n\nFor each function call, return a JSON object with function name and arguments within <tool_call></tool_call> XML tags:\n<tool_call>\n{""name"": <function-name>, ""arguments"": <args-json-object>}\n</tool_call>\n{{- end }}<｜end▁of▁sentence｜>\n{{ end }}\n\n{{- range $i, $_ := .Messages }}\n{{- $last := eq (len (slice $.Messages $i)) 1 -}}\n{{- if eq .Role ""user"" }}<｜begin▁of▁sentence｜>user\n{{ .Content }}<｜end▁of▁sentence｜>\n\n{{- else if eq .Role ""assistant"" }}<｜begin▁of▁sentence｜>assistant\n{{- if .Content }}\n{{ .Content }}\n{{- end }}\n{{- if .To']"
6,67,6_download_process_pull_speed,"['download', 'process', 'pull', 'speed', 'write', '10', 'model', 'ollama pull', 'host', 'ollama']","['This will give you the exact script, just run it: [GitHub Issue Comment](https://github.com/ollama/ollama/issues/8652).\n\n### For Windows:\n```powershell\nwhile ($true) {\n    Write-Host ""Attempting to download model...""\n    $process = Start-Process -FilePath ""ollama"" -ArgumentList ""pull deepseek-r1"" -PassThru -NoNewWindow\n    try {\n        $process | Wait-Process -Timeout 10 -ErrorAction Stop\n        if ($process.ExitCode -eq 0) {\n            Write-Host ""Model downloaded successfully!""\n            break\n        } else {\n            Write-Host ""Download failed (Exit code: $($process.ExitCode)). Retrying...""\n        }\n    } catch {\n        Write-Host ""Timeout occurred, restarting download...""\n        $process | Stop-Process -Force -ErrorAction SilentlyContinue\n    }\n    Start-Sleep -Seconds 2\n}\n```\n\n### For Linux/mac:\n```bash\n#!/bin/bash\n\nwhile true; do\n    echo ""Attempting to download model...""\n    ollama pull deepseek-r1 &\n    process_pid=$!\n    sleep 10\n\n    if wait $process_pid; then\n  ', 'This will give you the exact script, just run it: [GitHub Issue Comment](https://github.com/ollama/ollama/issues/8652).\n\n### For Windows:\n```powershell\nwhile ($true) {\n    Write-Host ""Attempting to download model...""\n    $process = Start-Process -FilePath ""ollama"" -ArgumentList ""pull deepseek-r1"" -PassThru -NoNewWindow\n    try {\n        $process | Wait-Process -Timeout 10 -ErrorAction Stop\n        if ($process.ExitCode -eq 0) {\n            Write-Host ""Model downloaded successfully!""\n            break\n        } else {\n            Write-Host ""Download failed (Exit code: $($process.ExitCode)). Retrying...""\n        }\n    } catch {\n        Write-Host ""Timeout occurred, restarting download...""\n        $process | Stop-Process -Force -ErrorAction SilentlyContinue\n    }\n    Start-Sleep -Seconds 2\n}\n```\n\n### For Linux/mac:\n```bash\n#!/bin/bash\n\nwhile true; do\n    echo ""Attempting to download model...""\n    ollama pull deepseek-r1 &\n    process_pid=$!\n    sleep 10\n\n    if wait $process_pid; then\n  ', 'This will give you the exact script, just run it: [GitHub Issue Comment](https://github.com/ollama/ollama/issues/8652).\n\n### For Windows:\n```powershell\nwhile ($true) {\n    Write-Host ""Attempting to download model...""\n    $process = Start-Process -FilePath ""ollama"" -ArgumentList ""pull deepseek-r1"" -PassThru -NoNewWindow\n    try {\n        $process | Wait-Process -Timeout 10 -ErrorAction Stop\n        if ($process.ExitCode -eq 0) {\n            Write-Host ""Model downloaded successfully!""\n            break\n        } else {\n            Write-Host ""Download failed (Exit code: $($process.ExitCode)). Retrying...""\n        }\n    } catch {\n        Write-Host ""Timeout occurred, restarting download...""\n        $process | Stop-Process -Force -ErrorAction SilentlyContinue\n    }\n    Start-Sleep -Seconds 2\n}\n```\n\n### For Linux/mac:\n```bash\n#!/bin/bash\n\nwhile true; do\n    echo ""Attempting to download model...""\n    ollama pull deepseek-r1 &\n    process_pid=$!\n    sleep 10\n\n    if wait $process_pid; then\n  ']"
7,25,7_dns_dns server_click_network,"['dns', 'dns server', 'click', 'network', 'settings', 'properties', 'port', 'select', 'server', 'change']","['For everyone who are confused i would like to make it clear for all that the problem in downloading is due to DNS server . And to solve this problem i already mentioned the steps in my above comment . For everyones conveinence i would like to mention all points again : \n\nTo change your DNS settings:\n\n1.  Open the Control Panel and go to Network and Sharing Center.\n2.  Click on Change adapter settings.\n3.  Right-click on your active network connection and select Properties.\n4.  Select Internet Protocol Version 4 (TCP/IPv4) and click Properties.\n5. Choose Use the following DNS server addresses and enter:\n     > Preferred DNS server: 8.8.8.8 (Google DNS) . \n     > Alternate DNS server: 1.1.1.1 (Cloudflare DNS) . \n6.  Click OK to save the changes.', 'I found solution : \n\nTry changing your dns server . You can change by following ways:\n\nTo change your DNS settings:\n\n1. Open the Control Panel and go to Network and Sharing Center.\n\n2. Click on Change adapter settings.\n\n3. Right-click on your active network connection and select Properties.\n\n4. Select Internet Protocol Version 4 (TCP/IPv4) and click Properties.\n\n5. Choose Use the following DNS server addresses and enter:\n    Preferred DNS server: 8.8.8.8 (Google DNS)\n    Alternate DNS server: 1.1.1.1 (Cloudflare DNS)\n\n6. Click OK to save the changes.', 'Try changing your dns server . You can change by following ways:\n\nTo change your DNS settings:\n\n1) Open the Control Panel and go to Network and Sharing Center.\n\n2) Click on Change adapter settings.\n\n3) Right-click on your active network connection and select Properties.\n\n4) Select Internet Protocol Version 4 (TCP/IPv4) and click Properties.\n\n5) Choose Use the following DNS server addresses and enter:\n Preferred DNS server: 8.8.8.8 (Google DNS)\n Alternate DNS server: 1.1.1.1 (Cloudflare DNS)\n\n6) Click OK to save the changes.']"
8,24,8_ggml_backend_build_makefile,"['ggml', 'backend', 'build', 'makefile', 'ggml src', 'ml', 'cmake', 'compiler', 'src', 'src ggml']","['Do you want the contents of `cmake_install.cmake`, `CMakeCache.txt`, or `Makefile`?\n\nOr just this output?\n\n```\n$ cmake -B build\n-- Warning: ccache not found - consider installing it for faster compilation or disable this warning with GGML_CCACHE=OFF\n-- CMAKE_SYSTEM_PROCESSOR: x86_64\n-- Including CPU backend\n-- x86 detected\n-- Adding CPU backend variant ggml-cpu-sandybridge: -msse4.2;-mavx GGML_SSE42;GGML_AVX\n-- x86 detected\n-- Adding CPU backend variant ggml-cpu-haswell: -msse4.2;-mf16c;-mfma;-mavx;-mavx2 GGML_SSE42;GGML_F16C;GGML_FMA;GGML_AVX;GGML_AVX2\n-- x86 detected\n-- Adding CPU backend variant ggml-cpu-skylakex: -msse4.2;-mf16c;-mfma;-mavx;-mavx2;-mavx512f;-mavx512cd;-mavx512vl;-mavx512dq;-mavx512bw GGML_SSE42;GGML_F16C;GGML_FMA;GGML_AVX;GGML_AVX2;GGML_AVX512\n-- x86 detected\n-- Adding CPU backend variant ggml-cpu-icelake: -msse4.2;-mf16c;-mfma;-mavx;-mavx2;-mavx512f;-mavx512cd;-mavx512vl;-mavx512dq;-mavx512bw;-mavx512vbmi;-mavx512vnni GGML_SSE42;GGML_F16C;GGML_FMA;GGML_AVX;GGML_AV', 'My suspicion is the path is wrong on this one.  When I tried to docker build this, the copy fails\r\n```\r\nDockerfile2:62\r\n--------------------\r\n  60 |     COPY --from=cuda_11 build/ml/backend/ggml/ggml/src/ggml-cuda/libggml-cuda.so libggml-cuda-11.so\r\n  61 |     COPY --from=cuda_12 build/ml/backend/ggml/ggml/src/ggml-cuda/libggml-cuda.so libggml-cuda-12.so\r\n  62 | >>> COPY --from=rocm build/ml/backend/ggml/ggml/src/ggml-hip/libggml-hip.so libggml-hip.so\r\n  63 |\r\n  64 |     # FROM --platform=linux/arm64 golang:1.23\r\n--------------------\r\nERROR: failed to solve: failed to compute cache key: failed to calculate checksum of ref 5fb0d267-6c4d-4960-957d-f36a2ffb7654::nz4fftygg8kdb3s4dqmeal5pt: ""/build/ml/backend/ggml/ggml/src/ggml-hip/libggml-hip.so"": not found\r\n```', '# cmake --build build\n[  1%] Building C object ml/backend/ggml/ggml/src/CMakeFiles/ggml-base.dir/ggml.c.o\n[  2%] Building C object ml/backend/ggml/ggml/src/CMakeFiles/ggml-base.dir/ggml-alloc.c.o\n[  4%] Building CXX object ml/backend/ggml/ggml/src/CMakeFiles/ggml-base.dir/ggml-backend.cpp.o\nIn file included from /home/bhar/ollama/ml/backend/ggml/ggml/src/ggml-backend.cpp:14:\n/home/bhar/ollama/ml/backend/ggml/ggml/src/ggml-impl.h: In function ‘float ggml_compute_fp16_to_fp32(ggml_fp16_t)’:\n/home/bhar/ollama/ml/backend/ggml/ggml/src/ggml-impl.h:358:24: warning: ISO C++17 does not allow ‘register’ storage class specifier [-Wregister]\n  358 |         register float f;\n      |                        ^\n/home/bhar/ollama/ml/backend/ggml/ggml/src/ggml-impl.h:359:25: warning: ISO C++17 does not allow ‘register’ storage class specifier [-Wregister]\n  359 |         register double d;\n      |                         ^\n/home/bhar/ollama/ml/backend/ggml/ggml/src/ggml-impl.h: In function ‘ggml_fp16_t']"
